source,target
2975,8349
2975,8351
2975,8354
2975,6384
2975,2975
2975,530
2975,1107983
2975,52057
2975,110380
2975,18471
2975,74611
2975,1407498
2975,74568
2975,226366
2975,1245
2975,47296
2975,17637
2975,53336
8349,8349
8349,8351
8349,8354
8349,2641
8351,8351
8351,8354
8354,8354
6384,6384
6384,530
6384,40644
530,530
1107983,1107983
1107983,52057
1107983,110380
1107983,1280183
1107983,2787630
1107983,21111
1107983,73988
52057,52057
52057,110380
110380,110380
110380,19011
18471,6193
18471,1892
18471,514
18471,18471
18471,74611
18471,1407498
74611,74611
74611,1407498
74611,170497
74611,4491
74611,56322
1407498,2395
1407498,1735828
1407498,53397
1407498,1407498
74568,74568
74568,3223
74568,16828
74568,226366
74568,1245
226366,587506
226366,130640
226366,226366
1245,3895
1245,56322
1245,3223
1245,16828
1245,1245
1245,103
1245,226366
1245,6968
47296,47296
47296,17637
47296,53336
17637,17637
17637,53336
53336,53336
2639,2639
2639,8349
2641,2641
2641,13724
2641,2112
2641,92029
2641,218506
2641,515
2641,349
13724,13724
13724,2112
2112,2112
6193,6193
6193,103
6193,2282
6193,1892
6193,514
6193,380
1892,1892
1892,31
1892,3895
1892,514
1892,3894
1892,1023139
514,514
514,61110
514,7447
7796,7796
7796,380
7796,851784
7796,89819
7796,10297
851784,10297
851784,1813
851784,3895
851784,851784
851784,89819
851784,204
89819,15831
89819,89819
89819,1254526
92029,92029
92029,218506
218506,218506
103835,103835
103835,6717
103835,8349
6717,6717
6717,8349
26466,8349
26466,26466
26466,18269
18269,8349
18269,18269
18269,21200
928944,928944
928944,2022250
928944,9979
2022250,2022250
2022250,9979
9979,9979
9979,1776
2098136,2098136
2098136,2098137
2098136,2098138
2098137,2098137
2098137,2098138
2098138,2098138
5606,8349
5606,5606
5606,5632
5632,8349
5632,5632
11367,8349
11367,11367
11367,31028
31028,8349
31028,31028
21010,21010
21010,8349
21010,101032
101032,8349
101032,101032
1397846,8349
1397846,1397846
1397846,2166741
2166741,8349
2166741,2166741
4001066,4001066
4001066,1197772
4001066,3895
1197772,1197772
1197772,3895
3895,3894
3895,1810
3895,3895
3895,6968
3895,6193
3895,24045
3895,3899
3895,9979
3895,9789
3895,6449
3895,10297
3895,1813
3895,3361135
3895,1812
3895,525
3895,15556
59258,59258
59258,8349
59258,3392
59258,56322
3392,3392
3392,192
3392,4430
3392,6449
3392,3223
3392,16828
3392,103
3392,1
3392,1776
3392,7879
3392,8349
3392,61110
3392,707
3392,7447
3392,15189
3392,18514
3392,4955
564,564
564,584
564,32233
584,584
584,32233
32233,32233
1357063,1892
1357063,3894
1357063,19498
1357063,6384
1357063,1357063
1357063,40644
40644,2710
40644,40644
40644,1779512
1779512,6384
1779512,1357063
1779512,1779512
1776,1
1776,1776
1776,7879
1776,8349
1776,8351
1776,8354
1776,1032
1776,38803
1776,64
1776,380
1776,6193
38803,38803
38803,64
38803,151007
38803,1158
64,64
64,3894
64,1810
64,3895
64,10980
64,10990
64,10989
64,958722
64,41381
64,3361135
64,1812
64,2037
64,5081
64,1892
21127,21127
21127,6384
21127,1692944
1692944,6384
1692944,1692944
30020,30020
30020,68833
30020,30022
30022,68833
30022,30022
30022,30024
30022,117649
30022,30019
30022,6777
30022,89613
30022,89614
68833,68833
68833,6777
68833,89613
68833,89614
68833,1219029
68833,1350757
68833,30024
68833,1230192
9340,9340
9340,9339
9340,4789367
9339,9339
9339,4789367
4789367,4789367
529,529
529,530
529,532
532,530
532,532
532,6384
532,2975
180659,180659
180659,1107983
180659,1280183
180659,1006651
180659,1165240
1280183,1280183
1280183,1006651
1280183,1165240
181934,1107983
181934,181934
181934,496175
181934,7172
496175,84932
496175,496175
496175,1107983
2102583,2102583
2102583,73988
2102583,21111
73988,21111
73988,1050881
73988,73988
73988,23626
73988,937663
73988,1931175
73988,2954
73988,33663
73988,2301996
73988,1165240
73988,1280183
73988,102786
73988,1884692
73988,2701107
73988,19011
21111,21111
21111,1050881
21111,7447
21111,4724
21111,46432
21111,50576
21111,2787630
21111,2803017
21111,2803001
21111,57738
21111,1141815
21111,1204877
21111,1152
21111,3331792
21111,120578
21111,3032475
21111,3032476
21111,3032477
21111,214317
21111,13716
21111,117180
21111,18802
21111,1461
21111,95778
21111,1230060
21111,4347
1006651,1107983
1006651,1006651
23626,23626
23626,587506
23626,543505
23626,130640
23626,937663
23626,1931175
23626,27972
937663,937663
937663,1931175
1931175,1931175
2954,2954
2954,33663
2954,2301996
33663,33663
33663,7447
33663,1816207
33663,1748
33663,2301996
33663,2214123
33663,2412677
33663,2412679
33663,56446
33663,1258041
33663,112219
33663,1116399
33663,102786
33663,18802
33663,103
33663,16620
33663,134
2301996,2301996
2787630,2787630
2787630,89289
2787630,2803017
2787630,2803001
2787630,13348
89289,1122373
89289,1122374
89289,1122375
89289,1107983
89289,52057
89289,110380
89289,89289
89289,1280183
89289,1006651
89289,65605
89289,181934
89289,496175
2803017,2803017
2803017,2803001
2803001,2803001
1165240,1165240
1165240,1107983
2855535,1107983
2855535,2855535
2855535,2939212
2939212,1107983
2939212,2939212
214317,214317
214317,13716
214317,117180
13716,13716
13716,117180
13716,6349
13716,21278
13716,13724
117180,46432
117180,117180
117180,944538
117180,2830394
117180,971346
117180,6349
117180,21278
117180,13724
237876,237876
237876,1107983
1050881,1050881
1050881,7447
1050881,4353
1050881,57738
1050881,1141815
1050881,1204877
1050881,3032475
