Parameter,Value
GTID,hpavlovich3
1_Mean Absolute Error,1773.627
1_Root Mean Squared Error,2461.696
1_Relative Absolute Error,0.3893649
1_Relative Squared Error,0.1317959
1_Coefficient of Determination,0.8682041
2_Mean Absolute Error,1734.045
2_Root Mean Squared Error,2194.171
2_Relative Absolute Error,0.4229619
2_Relative Squared Error,0.1545125
2_Coefficient of Determination,0.8454875
3_Root Mean Squared Error (RMSE) for 1st fold,2661.177065
3_Root Mean Squared Error (RMSE) for 2nd fold,2239.631209
3_Root Mean Squared Error (RMSE) for 3rd fold,2141.188834
3_Root Mean Squared Error (RMSE) for 4th fold,3052.481476
3_Root Mean Squared Error (RMSE) for 5th fold,2197.313599
3_Coefficient of Determination for 1st fold,0.908418
3_Coefficient of Determination for 2nd fold,0.909564
3_Coefficient of Determination for 3rd fold,0.937508
3_Coefficient of Determination for 4th fold,0.885313
3_Coefficient of Determination for 5th fold,0.779578
