Parameter,Value
GTID,hpavlovich3
1_Mean Absolute Error,3429.439559
1_Root Mean Squared Error,4407.547954
1_Relative Absolute Error,0.974518
1_Relative Squared Error,1.047283
1_Coefficient of Determination,-0.047283
2_Mean Absolute Error,3594.160294
2_Root Mean Squared Error,4653.162509
2_Relative Absolute Error,0.990534
2_Relative Squared Error,1.205576
2_Coefficient of Determination,-0.205576
3_Root Mean Squared Error (RMSE) for 1st fold,6124.223427
3_Root Mean Squared Error (RMSE) for 2nd fold,4780.923519
3_Root Mean Squared Error (RMSE) for 3rd fold,5665.700408
3_Root Mean Squared Error (RMSE) for 4th fold,4725.137597
3_Root Mean Squared Error (RMSE) for 5th fold,4582.79084
3_Coefficient of Determination for 1st fold,0.503025
3_Coefficient of Determination for 2nd fold,0.830902
3_Coefficient of Determination for 3rd fold,-0.509897
3_Coefficient of Determination for 4th fold,0.601257
3_Coefficient of Determination for 5th fold,-0.161796
